Impedance,Resistance,Reactance,HT
146.78,-122.94,4.14E-11,1
150.15,-138.06,3.67E-11,1
144.65,-125.67,4.01E-11,1
139.88,-114.36,4.39E-11,1
152.74,-146.04,3.42E-11,1
143.82,-126.81,3.92E-11,1
109.17,-69.12,7.16E-11,1
152.73,-140.57,3.50E-11,1
141.85,-126.80,3.87E-11,1
86.11,-42.05,1.16E-10,1
147.80,-135.10,3.60E-11,1
141.88,-125.78,3.84E-11,1
128.94,-93.06,5.17E-11,1
145.65,-135.85,3.53E-11,1
142.76,-129.46,3.69E-11,1
143.00,-128.99,3.68E-11,1
144.59,-130.75,3.62E-11,1
142.22,-134.11,3.51E-11,1
141.75,-130.61,3.59E-11,1
142.20,-130.09,3.59E-11,1
145.13,-142.01,3.27E-11,1
141.51,-133.28,3.47E-11,1
141.16,-126.47,3.64E-11,1
146.16,-154.28,2.97E-11,1
142.15,-137.94,3.31E-11,1
129.87,-110.36,4.12E-11,1
149.17,-161.25,2.81E-11,1
138.76,-144.47,3.12E-11,1
84.12,-46.87,9.58E-11,1
141.57,-158.97,2.81E-11,1
134.78,-148.42,3.00E-11,1
104.33,-68.82,6.44E-11,1
132.97,-158.71,2.78E-11,1
127.50,-151.73,2.90E-11,1
124.90,-154.19,2.84E-11,1
125.06,-161.48,2.70E-11,1
118.55,-160.12,2.71E-11,1
115.54,-156.86,2.76E-11,1
115.60,-155.03,2.78E-11,1
107.66,-162.31,2.64E-11,1
105.71,-154.21,2.77E-11,1
106.96,-147.84,2.88E-11,1
98.47,-163.26,2.60E-11,1
98.91,-149.29,2.83E-11,1
99.82,-132.61,3.17E-11,1
94.21,-163.84,2.56E-11,1
92.31,-144.97,2.88E-11,1
72.02,-55.65,7.47E-11,1
92.68,-153.90,2.69E-11,1
88.67,-141.29,2.92E-11,1
75.49,-61.54,6.68E-11,1
89.04,-146.03,2.80E-11,1
84.53,-137.24,2.97E-11,1
83.31,-128.79,3.15E-11,1
83.43,-140.71,2.88E-11,1
79.04,-133.17,3.03E-11,1
79.04,-129.67,3.10E-11,1
82.35,-128.93,3.10E-11,1
78.27,-126.66,3.15E-11,1
79.20,-121.22,3.28E-11,1
82.23,-118.52,3.34E-11,1
80.43,-122.64,3.22E-11,1
81.88,-114.45,3.43E-11,1
85.76,-108.42,3.61E-11,1
86.17,-123.16,3.17E-11,1
86.08,-111.70,3.48E-11,1
84.06,-87.62,4.42E-11,1
93.10,-121.40,3.18E-11,1
