Impedance,Resistance,Reactance,
9.49,-32.3,4.12E-12,1
9.43,-31.59,4.21E-12,1
9.53,-30.56,4.35E-12,1
8.72,-30.33,4.37E-12,1
8.6,-29.72,4.46E-12,1
8.92,-28.5,4.64E-12,1
8.92,-27.85,4.75E-12,1
14.61,-18.25,7.23E-12,1
8.55,-26.56,4.96E-12,1
7.76,-26.48,4.97E-12,1
8.39,-25.27,5.20E-12,1
8.45,-24.38,5.39E-12,1
8.23,-23.66,5.55E-12,1
8.6,-22.3,5.88E-12,1
7.72,-22.51,5.81E-12,1
7.44,-22.24,5.88E-12,1
7.81,-20.92,6.24E-12,1
7.67,-20.21,6.45E-12,1
7.66,-19.61,6.64E-12,1
7.59,-18.95,6.86E-12,1
7.32,-18.5,7.02E-12,1
7.32,-17.81,7.29E-12,1
7.35,-16.89,7.67E-12,1
7.22,-16.27,7.96E-12,1
8.17,-13.32,9.70E-12,1
6.99,-15.1,8.55E-12,1
6.71,-15.08,8.55E-12,1
6.91,-13.78,9.35E-12,1
6.94,-13.03,9.87E-12,1
6.86,-12.41,1.04E-11,1
6.89,-11.47,1.12E-11,1
6.79,-11.23,1.14E-11,1
6.65,-10.78,1.19E-11,1
6.69,-9.81,1.30E-11,1
6.68,-9.18,1.39E-11,1
6.79,-7.99,1.60E-11,1
6.67,-7.97,1.60E-11,1
6.54,-7.48,1.70E-11,1
6.52,-6.85,1.86E-11,1
6.6,-6.12,2.07E-11,1
6.58,-5.54,2.29E-11,1
6.55,-4.29,2.95E-11,1
6.56,-4.43,2.86E-11,1
6.6,-4.13,3.06E-11,1
6.59,-3.23,3.91E-11,1
6.6,-2.61,4.84E-11,1
6.59,-2,6.28E-11,1
6.54,-1.33,9.46E-11,1
6.58,-0.9,1.39E-10,1
6.55,-0.41,3.07E-10,1
6.48,0.28,3.56E-11,1
6.46,0.81,1.01E-10,1
5.44,2.51,3.14E-10,1
6.47,1.98,2.47E-10,1
6.49,2.42,3.01E-10,1
6.39,3.09,3.84E-10,1
6.3,3.7,4.60E-10,1
6.31,4.27,5.31E-10,1
6.14,5,6.21E-10,1
6.31,5.5,6.82E-10,1
6.38,6.06,7.50E-10,1
6.23,6.68,8.27E-10,1
6.2,7.25,8.96E-10,1
6.2,7.85,9.69E-10,1
6.24,8.55,1.05E-09,1
6.29,9.14,1.13E-09,1
6.25,9.71,1.19E-09,1
6.21,10.27,1.26E-09,1
6.22,10.9,1.34E-09,1
5.32,10.68,1.31E-09,1
6.29,12.18,1.49E-09,1
6.53,12.95,1.58E-09,1
6.31,13.36,1.63E-09,1
6.31,13.89,1.70E-09,1
6.33,14.51,1.77E-09,1
6.27,15.05,1.83E-09,1
6.44,15.82,1.92E-09,1
6.52,16.52,2.01E-09,1
6.38,16.91,2.05E-09,1
6.39,17.53,2.12E-09,1
6.36,18.04,2.18E-09,1
6.5,18.88,2.28E-09,1
6.53,19.51,2.36E-09,1
6.49,20.09,2.42E-09,1
6.43,20.63,2.49E-09,1
6.51,21.3,2.56E-09,1
6.29,20.98,2.52E-09,1
6.57,22.77,2.73E-09,1
6.67,23.85,2.86E-09,1
6.57,23.97,2.87E-09,1
6.59,24.58,2.94E-09,1
6.7,25.3,3.03E-09,1
6.66,25.91,3.09E-09,1
6.82,26.92,3.21E-09,1
6.78,27.63,3.29E-09,1
6.83,27.97,3.33E-09,1
6.84,28.7,3.41E-09,1
7.41,25.84,3.07E-09,1
7.07,30.25,3.59E-09,1
7.31,31.34,3.71E-09,1
7.15,31.65,3.75E-09,1
7.29,32.17,3.80E-09,1
7.39,32.93,3.89E-09,1
7.53,32.77,3.87E-09,1
7.43,34.74,4.09E-09,1
7.5,36,4.24E-09,1
7.62,35.84,4.22E-09,1
7.77,36.54,4.29E-09,1
7.79,37.29,4.38E-09,1
7.92,38.11,4.47E-09,1
7.85,39.19,4.59E-09,1
7.97,39.85,4.66E-09,1
8.18,40.24,4.70E-09,1
8.12,41.09,4.80E-09,1
12.2,30.78,3.59E-09,1
8.28,42.95,5.00E-09,1
8.05,45.01,5.23E-09,1
8.51,44.55,5.18E-09,1
8.72,45.21,5.25E-09,1
8.65,46.16,5.35E-09,1
9.07,46.37,5.37E-09,1
8.77,48.4,5.60E-09,1
8.76,49.83,5.76E-09,1
9.31,49.67,5.73E-09,1
9.32,50.64,5.84E-09,1
9.45,51.57,5.94E-09,1
9.6,52.79,6.07E-09,1
9.58,54.17,6.23E-09,1
9.84,54.8,6.29E-09,1
10.46,55.49,6.36E-09,1
10.65,56.63,6.49E-09,1
14.02,53.24,6.09E-09,1
10.79,59.27,6.78E-09,1
10.02,61.72,7.05E-09,1
11.24,60.89,6.95E-09,1
11.69,61.96,7.06E-09,1
11.72,63.08,7.18E-09,1
12.6,63.88,7.26E-09,1
11.98,65.87,7.48E-09,1
11.94,67.28,7.63E-09,1
13.27,67.55,7.66E-09,1
13.43,68.82,7.79E-09,1
18.47,65.11,7.36E-09,1
13.63,71.69,8.10E-09,1
14.12,73.95,8.35E-09,1
14.25,74.12,8.36E-09,1
15.16,74.97,8.44E-09,1
15.45,76.56,8.61E-09,1
19.59,75.21,8.45E-09,1
15.65,80.03,8.99E-09,1
14.04,82.84,9.29E-09,1
17.14,82.22,9.21E-09,1
17.57,83.61,9.36E-09,1
17.98,85.25,9.53E-09,1
19.05,86.8,9.69E-09,1
18.18,88.91,9.92E-09,1
18.79,90.64,1.01E-08,1
21.12,91.18,1.02E-08,1
21.2,92.62,1.03E-08,1
48.57,61.39,6.82E-09,1
21.5,95.96,1.07E-08,1
19.82,101.41,1.12E-08,1
22.83,99.95,1.11E-08,1
24.54,100.91,1.12E-08,1
25.02,103,1.14E-08,1
29.24,102.58,1.13E-08,1
24.71,107.65,1.19E-08,1
22.88,110.77,1.22E-08,1
28.11,110.22,1.21E-08,1
28.72,112.54,1.24E-08,1
29.01,115.08,1.26E-08,1
29.73,118.55,1.30E-08,1
28.83,121.33,1.33E-08,1
30.31,122.93,1.35E-08,1
33.34,124.05,1.36E-08,1
34.08,126.64,1.38E-08,1
63.81,107.92,1.18E-08,1
35.27,133.99,1.46E-08,1
28.63,140.78,1.53E-08,1
37.79,137.11,1.49E-08,1
40.2,139.6,1.52E-08,1
41.59,144.34,1.57E-08,1
46.4,145.74,1.58E-08,1
41.39,152.2,1.65E-08,1
41.06,157.36,1.70E-08,1
49.98,157.28,1.70E-08,1
50.94,160.56,1.74E-08,1
63.71,159.02,1.72E-08,1
52.68,168.01,1.81E-08,1
54.13,175.98,1.90E-08,1
56.56,177.9,1.91E-08,1
63.04,181.36,1.95E-08,1
65.4,186.05,2.00E-08,1
96.78,171.47,1.84E-08,1
67.2,197.72,2.12E-08,1
54.15,210.47,2.25E-08,1
77.59,207.42,2.22E-08,1
83.77,211.98,2.27E-08,1
87.04,219.36,2.34E-08,1
94.44,224.47,2.39E-08,1
88.37,237.72,2.53E-08,1
94.36,243.05,2.59E-08,1
