Impedance,Resistance,Reactance,
8.81,5.74,3.38E-09,1
8.62,5.95,3.48E-09,1
8.36,6.51,3.79E-09,1
9.56,5.1,2.95E-09,1
7.89,7.68,4.42E-09,1
7.91,8.82,5.05E-09,1
8.52,8.65,4.93E-09,1
8.74,8.66,4.91E-09,1
8.65,8.61,4.85E-09,1
8,8.3,4.65E-09,1
7.4,8.89,4.96E-09,1
7.02,9.22,5.11E-09,1
6.72,9.42,5.20E-09,1
6.08,9.95,5.46E-09,1
6.94,9.99,5.46E-09,1
5.08,11.65,6.33E-09,1
4.67,12.5,6.76E-09,1
4.58,13.09,7.04E-09,1
4.5,13.78,7.38E-09,1
4.19,14.55,7.75E-09,1
4.98,14.92,7.91E-09,1
3.67,16.45,8.67E-09,1
3.27,17.45,9.16E-09,1
3.76,17.85,9.32E-09,1
3.77,18.61,9.67E-09,1
3.69,19.44,1.01E-08,1
3.68,20.17,1.04E-08,1
3.44,21.21,1.09E-08,1
3.59,22.09,1.13E-08,1
3.99,22.79,1.16E-08,1
3.93,23.47,1.18E-08,1
14.14,21.55,1.08E-08,1
4.01,25.18,1.26E-08,1
3.61,26.1,1.30E-08,1
4.12,26.63,1.32E-08,1
4.52,27.37,1.35E-08,1
4.66,28.14,1.38E-08,1
5.61,28.18,1.38E-08,1
4.71,29.28,1.42E-08,1
4.26,30.21,1.46E-08,1
5.04,30.71,1.48E-08,1
4.93,31.31,1.50E-08,1
4.79,32.05,1.53E-08,1
4.67,32.88,1.56E-08,1
4.45,33.81,1.60E-08,1
4.69,34.68,1.63E-08,1
5.18,35.42,1.66E-08,1
5.17,36.32,1.70E-08,1
12.59,37.35,1.74E-08,1
5,37.98,1.76E-08,1
4.14,39.06,1.80E-08,1
5.39,40.24,1.85E-08,1
5.81,41.07,1.88E-08,1
5.98,41.97,1.91E-08,1
6.68,42.85,1.94E-08,1
5.93,44.05,1.99E-08,1
6.02,45.13,2.03E-08,1
7.41,46.21,2.07E-08,1
7.74,46.89,2.09E-08,1
8.99,47.98,2.13E-08,1
8.28,48.57,2.15E-08,1
8.42,49.15,2.16E-08,1
8.75,49.86,2.19E-08,1
9.38,50.87,2.22E-08,1
9.48,51.4,2.24E-08,1
13.25,53.09,2.30E-08,1
9.2,53.05,2.29E-08,1
8.21,53.86,2.31E-08,1
9.9,55.17,2.36E-08,1
10.1,56.02,2.39E-08,1
9.89,56.97,2.42E-08,1
9.92,58.2,2.46E-08,1
8.92,59.35,2.50E-08,1
8.68,60.73,2.55E-08,1
9.62,62.48,2.61E-08,1
9.67,64.14,2.67E-08,1
26.8,73.73,3.06E-08,1
10,68.5,2.83E-08,1
9.65,69.97,2.88E-08,1
10.76,71.7,2.94E-08,1
12,73.97,3.02E-08,1
12.64,75.84,3.08E-08,1
17.76,79.84,3.23E-08,1
15.46,80.74,3.26E-08,1
13.78,81.52,3.28E-08,1
17.42,85.14,3.41E-08,1
19.38,87.59,3.50E-08,1
21.61,89.39,3.55E-08,1
27.27,89.06,3.53E-08,1
28.93,89.56,3.53E-08,1
30.05,94.26,3.71E-08,1
35.24,94.16,3.69E-08,1
38.3,93.18,3.64E-08,1
83.66,91.8,3.57E-08,1
36.38,84.22,3.26E-08,1
37.15,85.21,3.29E-08,1
38.86,84.81,3.26E-08,1
37.65,85.53,3.28E-08,1
35.46,86.55,3.31E-08,1
31.77,90.87,3.46E-08,1
28.51,92.82,3.52E-08,1
30,94.13,3.56E-08,1
32.71,98.24,3.70E-08,1
33.22,101.27,3.80E-08,1
33.99,104.42,3.90E-08,1
33.88,110.51,4.12E-08,1
34.7,113.93,4.23E-08,1
36.93,115.58,4.28E-08,1
40.38,121.33,4.47E-08,1
43.2,125.01,4.59E-08,1
67.82,140.88,5.16E-08,1
51.41,134.38,4.90E-08,1
49.37,135.29,4.92E-08,1
61.3,141.65,5.13E-08,1
68.86,144.77,5.23E-08,1
75.49,146.22,5.26E-08,1
86.02,146.29,5.25E-08,1
88.34,146.99,5.26E-08,1
