67.77,-7.60E+02,4.15E-11,0
57.44,-6.51E+02,3.74E-11,0
43.54,-5.44E+02,3.64E-11,0
37.41,-4.58E+02,3.65E-11,0
27.22,-3.95E+02,3.66E-11,0
25.49,-3.39E+02,3.75E-11,0
28.04,-3.02E+02,3.76E-11,0
22.97,-2.78E+02,3.70E-11,0
33.5,-2.58E+02,3.63E-11,0
23.96,-2.40E+02,3.60E-11,0
15.97,-2.15E+02,3.71E-11,0
16.44,-2.07E+02,3.58E-11,0
13.47,-1.90E+02,3.65E-11,0
12.09,-1.71E+02,3.81E-11,0
11.75,-1.61E+02,3.80E-11,0
11.42,-1.52E+02,3.83E-11,0
11.69,-1.38E+02,3.99E-11,0
12.35,-1.27E+02,4.11E-11,0
13.07,-1.24E+02,4.03E-11,0
13.27,-1.15E+02,4.14E-11,0
13.48,-1.04E+02,4.38E-11,0
18.07,-9.91E+01,4.42E-11,0
22.95,-9.86E+01,4.26E-11,0
22.01,-9.30E+01,4.35E-11,0
15.65,-9.26E+01,4.21E-11,0
17.21,-8.41E+01,4.47E-11,0
21.18,-6.96E+01,5.22E-11,0
24.05,-8.30E+01,4.23E-11,0
17.05,-7.98E+01,4.26E-11,0
24.57,-6.77E+01,4.87E-11,0
18.46,-6.86E+01,4.66E-11,0
18.67,-6.65E+01,4.67E-11,0
18.43,-6.33E+01,4.76E-11,0
23.9,-6.54E+01,4.48E-11,0
16.45,-6.11E+01,4.67E-11,0
12.98,-5.62E+01,4.95E-11,0
11.83,-5.05E+01,5.36E-11,0
13.06,-4.49E+01,5.88E-11,0
13.38,-3.93E+01,6.56E-11,0
12.54,-3.30E+01,7.62E-11,0
14.62,-2.69E+01,9.13E-11,0
19.82,-2.07E+01,1.16E-10,0
26.74,-1.67E+01,1.40E-10,0
32.99,-1.57E+01,1.47E-10,0
36.29,-1.92E+01,1.17E-10,0
35.05,-2.21E+01,9.99E-11,0
32.34,-2.10E+01,1.03E-10,0
29.36,-1.59E+01,1.33E-10,0
29.29,-1.06E+01,1.96E-10,0
29.71,-4.36E+00,4.68E-10,0
34.58,3.62E+00,7.24E-09,0
38.77,9.99E+00,1.96E-08,0
44.19,1.54E+01,2.96E-08,0
49.87,2.07E+01,3.92E-08,0
62.03,2.93E+01,5.44E-08,0
76.75,3.21E+01,5.88E-08,0
83.32,2.90E+01,5.20E-08,0
91.3,2.92E+01,5.16E-08,0
100.32,3.62E+01,6.29E-08,0
143.16,4.06E+01,6.94E-08,0
168.87,2.06E+01,3.47E-08,0
176.42,-1.94E+01,8.55E-11,0
164.45,-4.10E+01,3.98E-11,0
168.23,-7.17E+01,2.24E-11,0
163.26,-8.92E+01,1.78E-11,0
156.16,-9.71E+01,1.61E-11,0
139.34,-1.15E+02,1.33E-11,0
112.87,-1.29E+02,1.18E-11,0
87.04,-1.33E+02,1.12E-11,0
83.63,-1.27E+02,1.16E-11,0
71.45,-1.25E+02,1.17E-11,0
60.72,-1.21E+02,1.18E-11,0
43.3,-1.12E+02,1.26E-11,0
41.88,-1.10E+02,1.27E-11,0
37.44,-1.05E+02,1.32E-11,0
34.69,-9.85E+01,1.38E-11,0
29.77,-9.04E+01,1.49E-11,0
28.06,-8.73E+01,1.52E-11,0
27.17,-8.74E+01,1.50E-11,0
25.21,-8.41E+01,1.54E-11,0
23.54,-8.05E+01,1.59E-11,0
22.74,-7.66E+01,1.65E-11,0
21.85,-7.62E+01,1.64E-11,0
