Impedance,Resistance,Reactance,HT
11.01,-125.47,4.06E-11,0
11.53,-127.58,3.97E-11,0
11.62,-126.97,3.97E-11,0
11.14,-123.29,4.07E-11,0
11.37,-125.02,3.99E-11,0
11.12,-123.87,4.01E-11,0
10.68,-120.38,4.11E-11,0
11.12,-121.92,4.04E-11,0
11.16,-121.50,4.03E-11,0
10.53,-118.69,4.11E-11,0
10.58,-117.89,4.12E-11,0
11.07,-118.77,4.07E-11,0
10.71,-116.84,4.12E-11,0
10.20,-114.20,4.20E-11,0
10.70,-115.21,4.14E-11,0
10.95,-114.63,4.14E-11,0
10.44,-111.33,4.25E-11,0
11.27,-112.83,4.17E-11,0
11.29,-111.60,4.20E-11,0
10.35,-107.93,4.32E-11,0
11.74,-109.85,4.23E-11,0
12.07,-108.98,4.24E-11,0
11.00,-104.74,4.40E-11,0
12.60,-106.87,4.29E-11,0
12.91,-106.14,4.30E-11,0
11.70,-102.67,4.43E-11,0
13.61,-103.82,4.36E-11,0
14.49,-103.61,4.35E-11,0
13.03,-100.25,4.48E-11,0
14.28,-100.30,4.46E-11,0
15.91,-100.92,4.41E-11,0
15.41,-98.36,4.51E-11,0
15.20,-96.55,4.57E-11,0
17.79,-99.02,4.44E-11,0
18.30,-98.10,4.46E-11,0
17.38,-94.52,4.61E-11,0
20.08,-97.66,4.45E-11,0
20.84,-97.74,4.43E-11,0
19.38,-94.05,4.58E-11,0
22.09,-97.69,4.39E-11,0
22.69,-97.97,4.36E-11,0
21.08,-93.59,4.55E-11,0
23.07,-98.10,4.32E-11,0
23.17,-98.68,4.28E-11,0
21.62,-93.14,4.52E-11,0
22.85,-98.38,4.26E-11,0
23.08,-98.57,4.23E-11,0
22.34,-92.43,4.50E-11,0
22.85,-96.48,4.29E-11,0
23.09,-98.28,4.20E-11,0
23.27,-94.22,4.36E-11,0
23.10,-93.67,4.37E-11,0
23.30,-99.27,4.11E-11,0
22.91,-98.07,4.14E-11,0
23.36,-93.84,4.31E-11,0
21.35,-100.32,4.02E-11,0
20.25,-100.21,4.01E-11,0
20.89,-94.47,4.24E-11,0
18.13,-99.79,4.00E-11,0
17.05,-98.96,4.01E-11,0
17.72,-93.26,4.24E-11,0
15.27,-96.90,4.07E-11,0
14.64,-95.79,4.10E-11,0
15.54,-91.45,4.28E-11,0
14.19,-93.60,4.17E-11,0
